"","year","viz_results","count_movies","avg_budget"
"1",1997,"fail",22,52319318.1818182
"2",1997,"nowomen",1,1e+07
"3",1997,"pass",28,44933928.5714286
"4",1998,"fail",35,37870514.2857143
"5",1998,"nowomen",3,28666666.6666667
"6",1998,"pass",24,36875000
"7",1999,"fail",30,53100000
"8",1999,"nowomen",3,41666666.6666667
"9",1999,"pass",23,27513043.4782609
"10",2000,"fail",27,44067592.5925926
"11",2000,"nowomen",7,58891872.2857143
"12",2000,"pass",29,35820689.6551724
"13",2001,"fail",26,54603846.1538462
"14",2001,"nowomen",5,57600000
"15",2001,"pass",33,28574242.4242424
"16",2002,"fail",38,57136911.0263158
"17",2002,"nowomen",5,46600000
"18",2002,"pass",37,27707567.5675676
"19",2003,"fail",23,53608695.6521739
"20",2003,"nowomen",7,87285714.2857143
"21",2003,"pass",34,49925000
"22",2004,"fail",31,59245387.0967742
"23",2004,"nowomen",5,34400000
"24",2004,"pass",45,43641912.3777778
"25",2005,"fail",40,50130000
"26",2005,"nowomen",6,88241666.6666667
"27",2005,"pass",54,37792129.6296296
"28",2006,"fail",40,52113750
"29",2006,"nowomen",7,46642857.1428571
"30",2006,"pass",43,31678488.372093
"31",2007,"fail",26,41411538.4615385
"32",2007,"nowomen",6,48083333.3333333
"33",2007,"pass",41,50587509.5121951
"34",2008,"fail",45,61555555.5555556
"35",2008,"nowomen",5,53700000
"36",2008,"pass",51,38750980.3921569
"37",2009,"fail",71,56987323.943662
"38",2009,"nowomen",11,42418181.8181818
"39",2009,"pass",42,40621428.5714286
"40",2010,"fail",55,57549090.9090909
"41",2010,"nowomen",13,71846153.8461538
"42",2010,"pass",61,42587704.9180328
"43",2011,"fail",64,64063906.25
"44",2011,"nowomen",7,29785714.2857143
"45",2011,"pass",53,36522547.1698113
"46",2012,"fail",43,72179302.3255814
"47",2012,"nowomen",6,6.6e+07
"48",2012,"pass",37,55234819.4594595
"49",2013,"fail",47,87734042.5531915
"50",2013,"nowomen",6,74700000
"51",2013,"pass",46,55782608.6956522
